college_id,fees_annual_lakhs,hostel_available,location_city,location_state,source_note
indian-institute-of-technology-bhu-varanasi,2.5,1,Varanasi,Uttar Pradesh,"Manually curated approximate figure by institute-type tier, not scraped per-college. Verify against the institute's current fee circular before relying on this for a real decision."
indian-institute-of-technology-ism-dhanbad,2.5,1,,,"Manually curated approximate figure by institute-type tier, not scraped per-college. Verify against the institute's current fee circular before relying on this for a real decision."
indian-institute-of-technology-bhilai,2.5,1,Durg,Chhattisgarh,"Manually curated approximate figure by institute-type tier, not scraped per-college. Verify against the institute's current fee circular before relying on this for a real decision."
indian-institute-of-technology-bhubaneswar,2.5,1,Bhubaneswar,Odisha,"Manually curated approximate figure by institute-type tier, not scraped per-college. Verify against the institute's current fee circular before relying on this for a real decision."
indian-institute-of-technology-bombay,2.5,1,Mumbai,Maharashtra,"Manually curated approximate figure by institute-type tier, not scraped per-college. Verify against the institute's current fee circular before relying on this for a real decision."
indian-institute-of-technology-delhi,2.5,1,New Delhi,Delhi,"Manually curated approximate figure by institute-type tier, not scraped per-college. Verify against the institute's current fee circular before relying on this for a real decision."
indian-institute-of-technology-dharwad,2.5,1,Dharwad,Karnataka,"Manually curated approximate figure by institute-type tier, not scraped per-college. Verify against the institute's current fee circular before relying on this for a real decision."
indian-institute-of-technology-gandhinagar,2.5,1,Gandhinagar,Gujarat,"Manually curated approximate figure by institute-type tier, not scraped per-college. Verify against the institute's current fee circular before relying on this for a real decision."
indian-institute-of-technology-goa,2.5,1,,,"Manually curated approximate figure by institute-type tier, not scraped per-college. Verify against the institute's current fee circular before relying on this for a real decision."
indian-institute-of-technology-guwahati,2.5,1,Guwahati,Assam,"Manually curated approximate figure by institute-type tier, not scraped per-college. Verify against the institute's current fee circular before relying on this for a real decision."
indian-institute-of-technology-hyderabad,2.5,1,Hyderabad,Telangana,"Manually curated approximate figure by institute-type tier, not scraped per-college. Verify against the institute's current fee circular before relying on this for a real decision."
indian-institute-of-technology-indore,2.5,1,Indore,Madhya Pradesh,"Manually curated approximate figure by institute-type tier, not scraped per-college. Verify against the institute's current fee circular before relying on this for a real decision."
indian-institute-of-technology-jammu,2.5,1,Jammu,Jammu and Kashmir,"Manually curated approximate figure by institute-type tier, not scraped per-college. Verify against the institute's current fee circular before relying on this for a real decision."
indian-institute-of-technology-jodhpur,2.5,1,Jodhpur,Rajasthan,"Manually curated approximate figure by institute-type tier, not scraped per-college. Verify against the institute's current fee circular before relying on this for a real decision."
indian-institute-of-technology-kanpur,2.5,1,Kanpur,Uttar Pradesh,"Manually curated approximate figure by institute-type tier, not scraped per-college. Verify against the institute's current fee circular before relying on this for a real decision."
indian-institute-of-technology-kharagpur,2.5,1,Kharagpur,West Bengal,"Manually curated approximate figure by institute-type tier, not scraped per-college. Verify against the institute's current fee circular before relying on this for a real decision."
indian-institute-of-technology-madras,2.5,1,Chennai,Tamil Nadu,"Manually curated approximate figure by institute-type tier, not scraped per-college. Verify against the institute's current fee circular before relying on this for a real decision."
indian-institute-of-technology-mandi,2.5,1,Mandi,Himachal Pradesh,"Manually curated approximate figure by institute-type tier, not scraped per-college. Verify against the institute's current fee circular before relying on this for a real decision."
indian-institute-of-technology-palakkad,2.5,1,Palakkad,Kerala,"Manually curated approximate figure by institute-type tier, not scraped per-college. Verify against the institute's current fee circular before relying on this for a real decision."
indian-institute-of-technology-patna,2.5,1,Patna,Bihar,"Manually curated approximate figure by institute-type tier, not scraped per-college. Verify against the institute's current fee circular before relying on this for a real decision."
indian-institute-of-technology-roorkee,2.5,1,Roorkee,Uttarakhand,"Manually curated approximate figure by institute-type tier, not scraped per-college. Verify against the institute's current fee circular before relying on this for a real decision."
indian-institute-of-technology-ropar,2.5,1,Rupnagar,Punjab,"Manually curated approximate figure by institute-type tier, not scraped per-college. Verify against the institute's current fee circular before relying on this for a real decision."
indian-institute-of-technology-tirupati,2.5,1,Tirupati,Andhra Pradesh,"Manually curated approximate figure by institute-type tier, not scraped per-college. Verify against the institute's current fee circular before relying on this for a real decision."
national-institute-of-technology-tiruchirappalli,1.25,1,Tiruchirappalli,Tamil Nadu,"Manually curated approximate figure by institute-type tier, not scraped per-college. Verify against the institute's current fee circular before relying on this for a real decision."
national-institute-of-technology-rourkela,1.25,1,Rourkela,Odisha,"Manually curated approximate figure by institute-type tier, not scraped per-college. Verify against the institute's current fee circular before relying on this for a real decision."
national-institute-of-technology-karnataka-surathkal,1.25,1,Surathkal,Karnataka,"Manually curated approximate figure by institute-type tier, not scraped per-college. Verify against the institute's current fee circular before relying on this for a real decision."
national-institute-of-technology-calicut,1.25,1,Kozhikode,Kerala,"Manually curated approximate figure by institute-type tier, not scraped per-college. Verify against the institute's current fee circular before relying on this for a real decision."
national-institute-of-technology-warangal,1.25,1,Warangal,Telangana,"Manually curated approximate figure by institute-type tier, not scraped per-college. Verify against the institute's current fee circular before relying on this for a real decision."
visvesvaraya-national-institute-of-technology-nagpur,1.25,1,Nagpur,Maharashtra,"Manually curated approximate figure by institute-type tier, not scraped per-college. Verify against the institute's current fee circular before relying on this for a real decision."
national-institute-of-technology-durgapur,1.25,1,Durgapur,West Bengal,"Manually curated approximate figure by institute-type tier, not scraped per-college. Verify against the institute's current fee circular before relying on this for a real decision."
